,0,1,2,3,4,5,6,7,8,9
0,5.26,4.21,3.43,2.41,1.43,1.39,1.34,1.3,1.28,1.28
1,5.26,4.21,3.23,2.47,1.43,1.4,1.36,1.34,1.31,1.27
2,5.26,4.3,3.43,2.4,2.37,1.39,1.34,1.3,1.26,1.24
3,5.26,4.21,3.38,2.47,1.43,1.39,1.34,1.33,1.29,1.27
4,5.26,4.25,3.43,2.34,1.43,1.4,1.35,1.3,1.35,1.3
5,5.26,4.3,3.51,2.47,2.43,2.41,2.39,1.36,1.31,1.31
6,5.26,4.24,3.27,2.47,2.43,1.39,1.35,1.32,1.28,1.29
7,5.26,4.24,3.43,2.47,2.43,2.41,1.37,1.31,1.29,1.29
8,5.26,4.25,3.38,2.47,1.43,1.39,1.38,1.33,1.29,1.29
9,5.26,4.3,3.43,2.4,1.43,1.39,1.35,1.3,1.29,1.24
